iter	Passed	Remaining
169	327	1601
170	329	1599
171	331	1595
172	336	1609
173	338	1605
174	339	1598
175	339	1591
176	340	1584
177	341	1577
178	342	1570
179	343	1564
180	344	1557
181	345	1551
182	345	1544
183	346	1537
184	347	1530
185	352	1541
186	353	1534
187	353	1528
188	354	1522
189	355	1515
190	356	1509
191	357	1502
192	357	1496
193	358	1490
194	359	1484
195	360	1478
196	361	1472
197	362	1466
198	362	1460
199	367	1468
200	368	1463
201	369	1457
202	369	1452
203	370	1446
204	371	1441
205	372	1435
206	373	1430
207	374	1424
208	375	1419
209	375	1414
210	376	1408
211	377	1403
212	380	1407
213	382	1403
214	383	1398
215	383	1393
216	384	1388
217	385	1383
218	386	1377
219	387	1372
220	387	1367
221	388	1362
222	389	1357
223	390	1352
224	391	1347
225	392	1343
226	393	1338
227	396	1343
228	397	1339
229	398	1334
230	399	1330
231	400	1325
232	401	1320
233	402	1316
234	402	1311
235	403	1306
236	404	1302
237	405	1297
238	406	1293
239	406	1288
240	407	1284
241	412	1293
242	413	1289
243	414	1285
244	417	1285
245	419	1285
246	420	1282
247	421	1279
248	428	1291
249	429	1289
250	430	1285
251	432	1282
252	433	1280
253	435	1280
254	437	1277
255	438	1274
256	441	1277
257	443	1274
258	443	1269
259	444	1265
260	445	1261
261	446	1257
262	447	1253
263	448	1250
264	449	1246
265	450	1242
266	451	1238
267	452	1234
268	452	1230
269	453	1226
270	457	1231
271	458	1228
272	459	1224
273	460	1220
274	461	1216
275	462	1213
276	463	1209
277	464	1205
278	465	1202
279	466	1199
280	467	1195
281	468	1192
282	469	1188
283	472	1191
284	473	1188
285	474	1184
286	475	1181
287	476	1177
288	477	1174
289	478	1171
290	479	1167
291	480	1164
292	481	1160
293	482	1157
294	482	1154
295	483	1150
296	484	1146
297	486	1146
298	487	1143
299	488	1139
300	489	1136
301	490	1133
302	491	1130
303	495	1133
304	496	1131
305	498	1131
306	499	1128
307	503	1131
308	505	1129
309	506	1127
310	507	1124
311	508	1121
312	515	1130
313	519	1134
314	520	1132
315	522	1129
316	523	1127
317	524	1124
318	525	1121
319	526	1118
320	527	1116
321	530	1116
322	532	1116
323	533	1113
324	534	1110
325	535	1107
326	536	1104
327	537	1102
328	539	1099
329	540	1097
330	542	1096
331	543	1094
332	544	1091
333	553	1104
334	555	1103
335	557	1101
336	558	1098
337	559	1095
338	560	1092
339	567	1100
340	568	1098
341	569	1095
342	570	1092
343	571	1089
344	573	1088
345	574	1085
346	575	1082
347	576	1079
348	580	1083
349	581	1080
350	582	1077
351	583	1074
352	584	1071
353	585	1068
354	586	1064
355	586	1061
356	587	1058
357	588	1054
358	588	1051
359	589	1048
360	590	1044
361	590	1041
362	591	1038
363	595	1040
364	596	1037
365	597	1034
366	598	1031
367	598	1028
368	599	1025
369	600	1022
370	601	1019
371	601	1016
372	602	1012
373	603	1009
374	604	1006
375	604	1003
376	605	1000
377	606	997
378	610	1000
379	611	998
380	612	995
381	613	992
382	614	989
383	615	987
384	616	984
385	616	981
386	618	979
387	619	976
388	620	973
389	621	971
390	622	969
391	630	977
392	631	975
393	632	972
394	633	970
395	638	974
396	640	973
397	645	977
398	647	974
399	648	972
400	648	969
401	649	966
402	650	963
403	650	960
404	651	957
405	652	954
406	653	951
407	654	949
408	654	946
409	655	943
410	660	947
411	661	944
412	662	941
413	663	939
414	664	936
415	665	933
416	666	931
417	667	929
418	668	927
419	669	925
420	670	922
421	675	924
422	676	922
423	677	920
424	678	917
425	679	915
426	680	912
427	680	910
428	682	907
429	683	905
430	684	903
431	685	901
432	686	898
433	689	899
434	690	897
435	691	894
436	692	892
437	693	889
438	694	887
439	695	884
440	696	882
441	698	881
442	700	880
443	703	881
444	705	879
445	706	877
446	707	874
447	708	872
448	709	870
449	709	867
450	710	865
451	711	862
452	712	860
453	713	858
454	714	855
455	715	853
456	716	850
457	717	848
458	718	846
459	718	843
460	719	841
461	720	838
462	720	836
463	721	833
464	722	831
465	723	828
466	723	826
467	724	823
468	725	821
469	726	818
470	726	816
471	727	813
472	728	811
473	728	808
474	729	806
475	730	803
476	730	801
477	731	798
478	732	796
479	732	794
480	734	792
481	735	790
482	735	787
483	736	785
484	737	782
485	737	780
486	738	777
487	738	775
488	739	772
489	741	771
490	742	769
491	742	767
492	743	764
493	745	763
494	746	761
495	747	759
496	749	758
497	750	756
498	750	753
499	751	751
500	752	749
501	752	746
502	753	744
503	754	742
504	755	740
505	756	738
506	756	735
507	757	733
508	758	731
509	758	729
510	759	726
511	760	724
512	761	722
513	761	720
514	762	718
515	763	716
516	764	714
517	765	712
518	767	710
519	768	709
520	769	707
521	770	705
522	771	703
523	772	701
524	773	699
525	774	697
526	774	695
527	775	693
528	776	691
529	776	688
530	777	687
531	779	685
532	780	683
533	781	681
534	782	679
535	783	677
536	784	676
537	786	675
538	787	673
539	789	672
540	790	670
541	792	669
542	793	668
543	794	666
544	795	664
545	796	662
546	797	660
547	798	658
548	799	656
549	800	654
550	801	652
551	801	650
552	802	649
553	803	647
554	804	645
555	805	642
556	805	640
557	806	639
558	807	637
559	808	635
560	809	633
561	810	631
562	811	629
563	812	628
564	813	626
565	814	624
566	815	622
567	816	620
568	817	618
569	817	616
570	818	614
571	819	612
572	819	610
573	820	609
574	822	608
575	824	606
576	824	604
577	825	602
578	826	600
579	828	599
580	835	602
581	848	609
582	855	612
583	858	611
584	862	612
585	865	611
586	867	610
587	869	609
588	877	612
589	879	611
590	880	609
591	882	608
592	886	608
593	888	607
594	889	605
595	891	604
596	892	602
597	893	600
598	894	598
599	895	596
600	896	595
601	898	593
602	899	592
603	903	592
604	905	591
605	907	589
606	908	587
607	909	586
608	910	584
609	912	583
610	913	581
611	919	582
612	920	581
613	921	579
614	923	577
615	924	576
616	925	574
617	927	573
618	929	571
619	931	570
620	933	569
621	934	568
622	936	566
623	938	565
624	939	563
625	941	562
626	942	560
627	943	558
628	948	559
629	950	557
630	951	556
631	952	554
632	953	552
633	954	550
634	955	549
635	956	547
636	957	545
637	958	543
638	962	543
639	964	542
640	965	540
641	966	538
642	967	537
643	968	535
644	970	533
645	972	532
646	973	531
647	975	529
648	976	528
649	977	526
650	978	524
651	979	523
652	980	521
653	981	519
654	982	517
655	983	515
656	984	513
657	984	511
658	985	510
659	986	508
660	988	506
661	989	505
662	992	504
663	993	502
664	994	500
665	995	499
666	996	497
667	997	495
668	997	493
669	998	491
670	999	490
671	1000	488
672	1001	486
673	1001	484
674	1002	482
675	1003	481
676	1004	479
677	1006	477
678	1007	476
679	1007	474
680	1008	472
681	1009	470
682	1010	468
683	1011	467
684	1011	465
685	1012	463
686	1013	461
687	1013	459
688	1014	457
689	1015	456
690	1016	454
691	1017	452
692	1018	451
693	1019	449
694	1021	448
695	1022	446
696	1022	444
697	1023	442
698	1024	441
699	1024	439
700	1025	437
701	1026	435
702	1026	433
703	1027	432
704	1028	430
705	1029	428
706	1029	426
707	1030	425
708	1031	423
709	1032	421
710	1032	419
711	1033	417
712	1033	416
713	1035	414
714	1036	413
715	1037	411
716	1038	409
717	1038	408
718	1039	406
719	1040	404
720	1040	402
721	1041	400
722	1042	399
723	1042	397
724	1043	395
725	1043	393
726	1044	392
727	1045	390
728	1045	388
729	1046	387
730	1047	385
731	1047	383
732	1048	381
733	1049	380
734	1051	379
735	1052	377
736	1052	375
737	1053	374
738	1054	372
739	1054	370
740	1055	368
741	1056	367
742	1056	365
743	1057	363
744	1058	362
745	1058	360
746	1059	358
747	1060	357
748	1060	355
749	1061	353
750	1062	352
751	1062	350
752	1063	348
753	1064	347
754	1065	345
755	1066	344
756	1067	342
757	1068	341
758	1069	339
759	1069	337
760	1070	336
761	1071	334
762	1071	332
763	1072	331
764	1072	329
765	1073	327
766	1074	326
767	1074	324
768	1075	323
769	1076	321
770	1076	319
771	1077	318
772	1078	316
773	1079	315
774	1080	313
775	1081	312
776	1082	310
777	1083	309
778	1083	307
779	1084	305
780	1085	304
781	1085	302
782	1086	301
783	1087	299
784	1087	297
785	1088	296
786	1088	294
787	1089	293
788	1090	291
789	1090	290
790	1091	288
791	1092	286
792	1093	285
793	1093	283
794	1094	282
795	1096	280
796	1097	279
797	1097	277
798	1098	276
799	1099	274
800	1099	273
801	1100	271
802	1101	270
803	1101	268
804	1102	267
805	1102	265
806	1103	263
807	1104	262
808	1104	260
809	1105	259
810	1106	257
811	1106	256
812	1107	254
813	1108	253
814	1109	251
815	1109	250
816	1111	248
817	1112	247
818	1113	246
819	1113	244
820	1114	242
821	1115	241
822	1115	239
823	1116	238
824	1117	236
825	1117	235
826	1118	233
827	1119	232
828	1119	230
829	1120	229
830	1121	227
831	1121	226
832	1122	225
833	1123	223
834	1124	222
835	1124	220
836	1125	219
837	1126	217
838	1127	216
839	1128	214
840	1129	213
841	1129	212
842	1130	210
843	1131	209
844	1131	207
845	1132	206
846	1132	204
847	1133	203
848	1134	201
849	1134	200
850	1135	198
851	1136	197
852	1137	195
853	1137	194
854	1138	193
855	1139	191
856	1139	190
857	1140	188
858	1142	187
859	1142	186
860	1143	184
861	1144	183
862	1144	181
863	1145	180
864	1146	178
865	1146	177
866	1147	176
867	1148	174
868	1148	173
869	1149	171
870	1149	170
871	1150	168
872	1152	167
873	1154	166
874	1155	165
875	1159	164
876	1160	162
877	1161	161
878	1161	159
879	1162	158
880	1163	157
881	1164	155
882	1165	154
883	1166	153
884	1166	151
885	1167	150
886	1168	148
887	1169	147
888	1169	146
889	1170	144
890	1173	143
891	1174	142
892	1174	140
893	1175	139
894	1175	137
895	1176	136
896	1177	135
897	1178	133
898	1178	132
899	1179	131
900	1180	129
901	1181	128
902	1181	126
903	1182	125
904	1182	124
905	1183	122
906	1184	121
907	1185	120
908	1185	118
909	1187	117
910	1188	116
911	1189	114
912	1190	113
913	1191	112
914	1191	110
915	1192	109
916	1193	107
917	1193	106
918	1194	105
919	1194	103
920	1195	102
921	1196	101
922	1196	99
923	1197	98
924	1198	97
925	1198	95
926	1199	94
927	1200	93
928	1200	91
929	1202	90
930	1203	89
931	1204	87
932	1204	86
933	1205	85
934	1206	83
935	1206	82
936	1207	81
937	1208	79
938	1208	78
939	1209	77
940	1210	75
941	1210	74
942	1211	73
943	1212	71
944	1212	70
945	1213	69
946	1214	67
947	1214	66
948	1215	65
949	1216	64
950	1217	62
951	1219	61
952	1219	60
953	1220	58
954	1221	57
955	1221	56
956	1222	54
957	1222	53
958	1223	52
959	1224	51
960	1224	49
961	1225	48
962	1226	47
963	1226	45
964	1227	44
965	1228	43
966	1228	41
967	1229	40
968	1230	39
969	1231	38
970	1233	36
971	1234	35
972	1234	34
973	1235	32
974	1236	31
975	1237	30
976	1237	29
977	1238	27
978	1239	26
979	1239	25
980	1240	24
981	1241	22
982	1241	21
983	1242	20
984	1243	18
985	1244	17
986	1245	16
987	1246	15
988	1246	13
989	1248	12
990	1249	11
991	1250	10
992	1250	8
993	1251	7
994	1252	6
995	1253	5
996	1253	3
997	1254	2
998	1255	1
999	1255	0
