iter	Passed	Remaining
358	654	1168
359	655	1164
360	656	1161
361	657	1158
362	658	1156
363	659	1153
364	660	1149
365	661	1145
366	662	1141
367	662	1138
368	663	1134
369	664	1131
370	665	1128
371	667	1127
372	668	1124
373	669	1120
374	671	1119
375	673	1117
376	674	1114
377	674	1110
378	675	1106
379	676	1104
380	677	1101
381	678	1098
382	679	1094
383	679	1090
384	680	1087
385	681	1083
386	681	1079
387	683	1077
388	683	1074
389	684	1071
390	685	1068
391	687	1065
392	688	1063
393	689	1060
394	690	1057
395	691	1054
396	692	1051
397	693	1048
398	694	1045
399	694	1042
400	696	1039
401	697	1037
402	698	1034
403	699	1031
404	700	1029
405	702	1028
406	705	1027
407	706	1025
408	707	1022
409	709	1020
410	711	1019
411	712	1016
412	713	1014
413	714	1011
414	715	1008
415	716	1006
416	719	1005
417	720	1003
418	722	1001
419	723	999
420	724	996
421	725	994
422	726	991
423	727	988
424	728	985
425	729	982
426	730	980
427	732	978
428	735	979
429	736	976
430	737	973
431	738	970
432	739	968
433	740	965
434	741	962
435	741	959
436	742	956
437	743	953
438	744	951
439	744	948
440	745	945
441	748	945
442	750	944
443	752	941
444	753	939
445	754	936
446	755	934
447	755	931
448	756	928
449	757	926
450	758	923
451	759	921
452	760	918
453	761	915
454	762	913
455	763	911
456	765	909
457	766	906
458	767	904
459	768	901
460	768	899
